ID,Cluster,MT Score,YAP,PI3KAKT,TGFB,WNT,MAPK,FOXO,TNF,NOTCH,HIF1,CD8
TCGA.VQ.A92D.01,Cluster II,2561.737566,2126.131785,2752.349271,2199.969424,1285.228191,2000.194545,2974.773998,2857.260235,3472.351547,3702.790218,-5503.768672
TCGA.VQ.A94O.01,Cluster II,2816.628966,2149.742299,2762.210022,2397.163384,1533.506308,1623.950712,2795.979066,2922.248374,3258.045236,3712.355514,-4724.27914
TCGA.VQ.A94T.01,Cluster II,2048.787961,1875.863472,2604.401697,2173.783011,1094.900421,1706.014701,2913.713077,2486.364109,3327.98278,3406.276745,-5984.966916
TCGA.VQ.AA6A.01,Cluster II,1716.41586,1760.388105,2497.478052,1980.671784,915.4234694,1712.251051,2760.570301,2708.568993,3382.764893,3176.091893,-5883.528718
TCGA.VQ.AA6B.01,Cluster II,2089.179929,1923.625397,2520.420247,2065.152601,1445.425098,1602.446153,2736.855905,2332.06166,3023.885984,3376.398067,-5885.503977
TCGA.VQ.AA6D.01,Cluster II,1656.428947,1565.846035,2356.155343,1598.359187,974.8975661,1436.077638,2478.805636,3115.167461,3356.950875,3802.65191,-4383.318521
TCGA.VQ.AA6G.01,Cluster II,2330.39482,1838.406359,2733.428246,2001.05833,1159.960337,2069.452425,2975.424983,3402.655344,3071.119386,3930.390875,-5294.906766
TCGA.VQ.AA6I.01,Cluster II,1488.445604,1849.993312,2526.855553,2071.451636,1201.42772,1652.517671,2890.418365,2336.534102,3218.329512,3373.27125,-3671.918497
TCGA.BR.4362.01,Cluster II,372.8795077,1129.53711,1871.115341,707.622771,317.2710647,1135.718046,1513.521272,1686.089394,1390.913268,2213.342422,-3873.418677
TCGA.BR.4369.01,Cluster II,928.1606784,1044.158556,1900.236641,1392.045945,540.6953577,1004.700302,1413.907272,280.7891676,1033.367031,1770.5702,-6536.751979
TCGA.BR.4371.01,Cluster II,761.2697702,1120.946327,1540.552276,1084.968362,842.4829998,797.0032069,1205.156725,797.4519863,1083.353839,1998.72524,-6083.278376
TCGA.CG.4436.01,Cluster II,1048.083787,831.331154,1603.534151,402.5981936,526.492307,732.6131996,1044.485809,1339.326896,974.1204466,1915.081437,-6105.021944
TCGA.CG.4438.01,Cluster II,691.5022109,886.6973178,1825.663361,926.1379507,548.9099229,1050.995923,1518.199691,968.3664785,1394.349039,2095.695243,-4430.094285
TCGA.CG.4466.01,Cluster II,924.9661007,980.8427485,1667.838519,773.1386382,404.2854379,970.0322449,1041.314336,930.6601858,1168.616019,1769.78514,-7814.215465
TCGA.2G.AAEW.01,Cluster II,2754.116488,2590.666442,2417.014128,2801.806259,2432.113996,2442.931258,3609.517256,3146.153161,4587.884119,4323.549125,-878.6431122
TCGA.2G.AAEX.01,Cluster II,3025.57258,2697.985875,2353.442089,2756.647131,2246.757682,2195.171195,3406.319425,2437.061086,4470.586565,3876.42645,735.4973406
TCGA.2G.AAF1.01,Cluster II,2716.247954,2720.9443,2385.225135,2680.884771,2486.259596,2432.299701,3703.83277,3147.498344,4634.19319,4215.089685,40.67234922
TCGA.2G.AAF4.01,Cluster II,2710.06256,2311.887177,2152.974267,2572.527841,2211.716615,2241.149848,3409.699534,2681.370996,4207.224786,4037.144475,1879.184202
TCGA.2G.AAF6.01,Cluster II,2494.639759,2357.858849,2087.14553,2353.008364,2222.669148,2151.028745,3349.002503,2611.640832,3885.789547,4254.629774,1583.727663
TCGA.2G.AAF8.01,Cluster II,3080.348769,2610.095103,2474.537625,2907.600703,2440.292631,2381.682999,3524.093195,2450.484492,4427.340139,4168.149767,688.2631904
TCGA.2G.AAFE.01,Cluster II,2187.347997,2491.432646,2187.212586,2500.055882,2369.466529,2235.820878,3437.348574,2519.790249,4343.249082,4162.207832,-1064.187157
TCGA.2G.AAFG.01,Cluster II,2697.863332,2589.719534,2318.298366,2741.166068,2313.541912,2363.242942,3573.063229,3182.764955,4454.949008,4332.35662,2254.249516
TCGA.2G.AAFG.05,Cluster II,3053.696245,2555.374227,2423.889863,2877.103877,2376.472434,2463.387408,3586.893517,3457.108005,4317.278823,4345.480675,3107.829479
TCGA.2G.AAFH.01,Cluster II,2951.758797,2601.036687,2585.906141,3055.15239,2347.691386,2373.413911,3533.711126,2888.376247,4524.517862,4394.705419,2073.523537
