Status,Location,Ch,,Chr,Rank,P1,P2,P3,P4,F1,F2,F3,F4,FC1,FC2,FC3,FC4
Del,14q24.1,Ch14,,Chr14q24.1,62,1.36E-07,1.37E-27,0.00626728,2.64E-05,0.20199778,0.323050847,0.221628838,0.222183222,0.76849729,1.49468748,0.863897847,0.842113486
Del,15q11.2,Ch15,,Chr15q11.2,63,3.96E-33,3.89E-49,0.000550127,1.57E-13,0.131520533,0.337288136,0.277036048,0.191295191,0.490897866,1.732652252,1.185003377,0.725922857
Del,15q15.1,Ch15,,Chr15q15.1,64,3.96E-33,3.89E-49,0.000550127,1.57E-13,0.131520533,0.337288136,0.277036048,0.191295191,0.490897866,1.732652252,1.185003377,0.725922857
Amp,15q26.3 ,Ch15,,Chr15q26.3 ,65,1.98E-21,1.74E-09,2.94E-34,1.76E-14,0.071587125,0.174915254,0.244325768,0.1003861,0.447235663,1.377149678,1.994758496,0.620586674
Del,16p13.3,Ch16,,Chr16p13.3,66,2.78E-11,6.12E-23,1.33E-25,3.14E-36,0.112652608,0.221694915,0.258344459,0.091962092,0.630871897,1.600002387,1.754849182,0.462028195
Del,16q23.1 ,Ch16,,Chr16q23.1 ,67,1.31E-32,5.15E-57,0.685011713,4.69E-10,0.213096559,0.447457627,0.337783712,0.286416286,0.588556243,1.612788364,1.018846822,0.81000081
Del,17p12 ,Ch17,,Chr17p12 ,68,5.25E-50,6.70E-70,0.000988498,6.53E-15,0.221975583,0.506779661,0.414552737,0.316251316,0.53687631,1.621325773,1.126972587,0.785600448
Del,17q11.2 ,Ch17,,Chr17q11.2 ,69,9.28E-26,4.09E-47,0.904839079,1.58E-08,0.081576027,0.246440678,0.166221629,0.131625132,0.440607155,1.965452307,1.011569736,0.732553048
Amp,17q12 ,Ch17,,Chr17q12 ,70,0.165174163,4.42E-09,0.00013563,4.46E-15,0.211431743,0.261694915,0.263017356,0.172692173,0.930529207,1.270056854,1.215316065,0.697689773
Amp,17q25.1,Ch17,,Chr17q25.1,71,0.092574162,6.56E-13,3.52E-12,7.22E-30,0.255826859,0.321355932,0.346461949,0.192699193,0.925976483,1.292359468,1.344973073,0.624673213
Del,18q23,Ch18,,Chr18q23,72,9.94E-57,1.55E-46,1.76E-26,1.49E-20,0.187569367,0.453220339,0.469959947,0.279045279,0.48261413,1.517066883,1.446220872,0.733094995
Amp,19p13.12,Ch19,,Chr19p13.12,73,4.52E-05,9.64E-25,0.006867411,1.15E-19,0.124306326,0.213220339,0.18024032,0.104247104,0.7584141,1.657511839,1.191310153,0.580182014
Del,19p13.2,Ch19,,Chr19p13.2,74,3.04E-32,1.61E-28,4.25E-32,1.96E-25,0.12208657,0.298983051,0.345794393,0.159003159,0.480769404,1.543616104,1.690278571,0.613438113
Amp,19q12 ,Ch19,,Chr19q12 ,75,4.38E-38,3.37E-37,6.97E-16,2.19E-16,0.100443951,0.293220339,0.292389853,0.16040716,0.416442904,1.675661584,1.47867949,0.67556924
Del,19q13.32,Ch19,,Chr19q13.32,76,3.79E-07,9.45E-09,0.000550127,1.45E-38,0.203107658,0.19559322,0.194259012,0.087399087,1.326836689,1.327486437,1.23872714,0.442661504
Del,19q13.43,Ch19,,Chr19q13.43,77,6.66E-11,1.31E-05,5.70E-05,3.15E-40,0.220310766,0.193220339,0.20493992,0.08985609,1.418894667,1.237616525,1.273710819,0.440816767
Del,20p12.1 ,Ch20,,Chr20p12.1 ,78,3.19E-15,6.14E-38,0.516711792,1.17E-11,0.068812431,0.189491525,0.130173565,0.089154089,0.498139193,2.033478865,1.055975737,0.634639017
Amp,20q11.21 ,Ch20,,Chr20q11.21 ,79,6.52E-61,1.50E-62,6.77E-36,6.79E-37,0.215871254,0.511525424,0.532042724,0.28957529,0.503102057,1.564082462,1.485147537,0.671556794
Amp,20q13.33,Ch20,,Chr20q13.33,80,2.95E-55,2.82E-87,4.63E-10,7.08E-31,0.228079911,0.538983051,0.463951936,0.302211302,0.529020697,1.684904311,1.232179827,0.700601127
Del,21q11.2,Ch21,,Chr21q11.2,81,1.24E-16,4.49E-05,1.44E-48,3.84E-18,0.152053274,0.25220339,0.371829105,0.168831169,0.622633413,1.182011162,1.88543898,0.669964956
Del,22q13.32,Ch22,,Chr22q13.32,82,7.93E-20,4.70E-52,0.005158937,2.22E-07,0.211431743,0.407118644,0.269025367,0.263250263,0.655402475,1.631924734,0.876870418,0.828873625
Del,Xp21.2,ChX,,ChrXp21.2,83,0.892489464,1.62E-06,1.79E-23,1.94E-38,0.20199778,0.229830508,0.295727637,0.118638119,1.0102658,1.234260084,1.628859252,0.499318681
Amp,Xq28,ChX,,ChrXq28,84,0.129764014,7.98E-07,2.47E-23,4.99E-31,0.165926748,0.20779661,0.269692924,0.108810109,0.912409556,1.261343885,1.677525298,0.516765334
